positions,skills
"['ai researcher', 'machine learning engineer']","['Exploratory Data Analysis', 'Python', 'Machine Learning', 'RNN', 'NLP', 'Predictive Modeling', 'Deep Learning', 'SQL', 'Statistics', 'Feature Engineering']"
"['ai researcher', 'machine learning engineer']","['Clustering', 'Exploratory Data Analysis', 'CNN', 'NLP', 'Dimensionality Reduction', 'Statistics', 'ANN', 'SQL', 'Machine Learning', 'Tableau', 'Deep Learning', 'Python', 'Classification', 'Feature Engineering', 'Big Data', 'PyTorch', 'Snowflake', 'Regression', 'Visualization', 'TensorFlow']"
['software engineer'],"['Terraform', 'Deployment', 'Programming', 'Infrastructure as Code', 'Algorithms', 'Testing', 'API Integration', 'Code Review', 'Microservices', 'Object-Oriented Design']"
"['android intern', 'android developer']","['Kotlin', 'Testing', 'Notifications', 'App Lifecycle', 'Bug Fixing', 'Java', 'Android SDK', 'Glide', 'XML', 'REST APIs', 'Retrofit', 'UI Design', 'Firebase', 'Version Control']"
['machine learning engineer'],"['Dimensionality Reduction', 'Deep Learning', 'Statistics', 'Data Analysis', 'PyTorch', 'Exploratory Data Analysis', 'Data Cleaning', 'Python', 'Machine Learning', 'Clustering', 'NLP', 'Classification', 'Feature Engineering', 'Tableau', 'Snowflake']"
"['software engineer', 'cloud data engineer']","['Data Structures', 'Code Review', 'Infrastructure as Code', 'Golang', 'System Design', 'CI/CD', 'Testing', 'Microservices', 'API Integration', 'Programming', 'Docker', 'Deployment', 'ETL Pipelines', 'Algorithms', 'Terraform', 'Web Development', 'Databases', 'Debugging', 'Version Control', 'Git']"
"['project manager', 'assistant project manager']","['MS Project', 'Scheduling', 'Stakeholder Management', 'A/B Testing', 'Reporting', 'Project Planning', 'Wireframing', 'Communication', 'User Research', 'Customer Retention', 'Scope Management']"
"['data scientist', 'ai researcher']","['Classification', 'TensorFlow', 'ANN', 'Tableau', 'Data Cleaning', 'Regression', 'Snowflake', 'Data Analysis', 'RNN', 'Statistics', 'Feature Engineering', 'Big Data']"
"['agile project lead', 'project manager']","['Performance Metrics', 'Reporting', 'Budgeting', 'Google Analytics', 'Wireframing', 'Team Coordination', 'Presentation', 'Customer Retention', 'Scheduling', 'Scope Management', 'Documentation', 'Stakeholder Management', 'User Research', 'Risk Management', 'Communication', 'Issue Tracking', 'A/B Testing', 'Time Management', 'Project Planning', 'MS Project']"
"['project manager', 'assistant project manager']","['Performance Metrics', 'Presentation', 'Reporting', 'Time Management', 'Communication', 'Team Coordination', 'Scope Management', 'Budgeting', 'Issue Tracking', 'Documentation', 'Stakeholder Management', 'Customer Retention', 'Scheduling', 'MS Project', 'Risk Management', 'Project Planning', 'User Research']"
['cloud data engineer'],"['ETL Pipelines', 'Debugging', 'Git', 'Programming', 'Deployment', 'Version Control', 'Object-Oriented Design', 'Terraform', 'DevOps', 'CI/CD', 'Algorithms']"
['android intern'],"['Bug Fixing', 'Java', 'Version Control', 'Retrofit', 'Firebase', 'Kotlin', 'MVVM', 'Testing', 'Android SDK', 'UI Design']"
['assistant project manager'],"['A/B Testing', 'Team Coordination', 'Risk Management', 'Budgeting', 'Scheduling', 'Presentation', 'Performance Metrics', 'Reporting', 'Customer Retention', 'Wireframing', 'Communication', 'Documentation', 'Project Planning', 'Issue Tracking', 'Scope Management', 'User Research', 'Stakeholder Management', 'Google Analytics', 'MS Project']"
"['project manager', 'agile project lead']","['Issue Tracking', 'Google Analytics', 'User Research', 'Project Planning', 'Communication', 'Reporting', 'Customer Retention', 'A/B Testing', 'Performance Metrics', 'Scope Management', 'MS Project', 'Wireframing', 'Budgeting', 'Scheduling', 'Time Management', 'Team Coordination', 'Risk Management']"
['assistant project manager'],"['Documentation', 'A/B Testing', 'Presentation', 'Time Management', 'Scheduling', 'Scope Management', 'Project Planning', 'Issue Tracking', 'Customer Retention', 'Team Coordination']"
"['android intern', 'mobile application developer']","['Retrofit', 'Firebase', 'Notifications', 'App Lifecycle', 'UI Design', 'Version Control', 'Bug Fixing', 'Kotlin', 'Performance Optimization', 'MVVM', 'Play Store Deployment', 'Fragments', 'Android SDK', 'Testing']"
"['data scientist', 'machine learning engineer']","['Dimensionality Reduction', 'ANN', 'Python', 'Predictive Modeling', 'PyTorch', 'Statistics', 'Tableau', 'NLP', 'Machine Learning', 'TensorFlow', 'Feature Engineering', 'Big Data', 'Visualization', 'Data Cleaning', 'Exploratory Data Analysis', 'CNN', 'Snowflake', 'SQL', 'Clustering']"
"['cloud data engineer', 'devops engineer']","['Infrastructure as Code', 'System Design', 'Algorithms', 'Git', 'Terraform', 'Deployment', 'DevOps', 'API Integration', 'Testing', 'Databases', 'Object-Oriented Design', 'Golang', 'Debugging', 'Web Development', 'ETL Pipelines']"
"['cloud data engineer', 'devops engineer']","['Microservices', 'CI/CD', 'Algorithms', 'API Integration', 'Data Structures', 'Docker', 'Debugging', 'Testing', 'ETL Pipelines', 'Infrastructure as Code', 'Web Development', 'Programming', 'Golang', 'Object-Oriented Design', 'Terraform', 'Version Control', 'Code Review', 'System Design', 'Deployment']"
['assistant project manager'],"['Stakeholder Management', 'Team Coordination', 'A/B Testing', 'Google Analytics', 'Scheduling', 'Documentation', 'Customer Retention', 'User Research', 'Communication', 'Time Management', 'MS Project', 'Risk Management']"
['assistant project manager'],"['Documentation', 'Communication', 'User Research', 'Project Planning', 'MS Project', 'Stakeholder Management', 'Time Management', 'Google Analytics', 'Reporting', 'Team Coordination', 'Issue Tracking', 'A/B Testing', 'Customer Retention', 'Wireframing', 'Budgeting', 'Scope Management']"
['software engineer'],"['Docker', 'System Design', 'DevOps', 'Web Development', 'Golang', 'Databases', 'Programming', 'Terraform', 'Code Review', 'CI/CD', 'Deployment', 'Microservices', 'Testing', 'Debugging', 'Git', 'Infrastructure as Code', 'Version Control', 'Algorithms']"
"['software engineer', 'cloud data engineer']","['Docker', 'Microservices', 'ETL Pipelines', 'Web Development', 'Databases', 'Version Control', 'Code Review', 'Git', 'Infrastructure as Code', 'Programming']"
"['software engineer', 'cloud data engineer']","['CI/CD', 'Object-Oriented Design', 'Testing', 'Deployment', 'Web Development', 'DevOps', 'Version Control', 'Git', 'System Design', 'Microservices']"
['android developer'],"['Performance Optimization', 'Bug Fixing', 'React Native', 'Testing', 'Java', 'Retrofit', 'Notifications', 'REST APIs', 'Firebase', 'Android SDK', 'Kotlin', 'Version Control']"
['assistant project manager'],"['Scope Management', 'User Research', 'Wireframing', 'Google Analytics', 'Stakeholder Management', 'Project Planning', 'A/B Testing', 'Scheduling', 'Issue Tracking', 'Presentation', 'Customer Retention', 'Time Management', 'Documentation']"
"['agile project lead', 'assistant project manager']","['Wireframing', 'Team Coordination', 'Performance Metrics', 'Scope Management', 'Customer Retention', 'Project Planning', 'Presentation', 'Google Analytics', 'User Research', 'Time Management', 'Risk Management', 'A/B Testing']"
"['agile project lead', 'project manager']","['Project Planning', 'User Research', 'MS Project', 'Time Management', 'Communication', 'Performance Metrics', 'Budgeting', 'Reporting', 'Stakeholder Management', 'Documentation', 'Presentation', 'A/B Testing', 'Scope Management', 'Customer Retention', 'Google Analytics', 'Risk Management', 'Scheduling']"
['mobile application developer'],"['UI Design', 'Play Store Deployment', 'App Lifecycle', 'Java', 'REST APIs', 'Fragments', 'Kotlin', 'Notifications', 'Android SDK', 'Glide', 'React Native', 'MVVM', 'Firebase', 'Bug Fixing', 'Retrofit', 'XML']"
['mobile application developer'],"['Version Control', 'Play Store Deployment', 'Glide', 'Performance Optimization', 'Testing', 'UI Design', 'Android SDK', 'XML', 'Firebase', 'REST APIs', 'MVVM', 'Retrofit', 'Java', 'Kotlin', 'Notifications', 'App Lifecycle', 'Fragments']"
"['android developer', 'android intern']","['App Lifecycle', 'Play Store Deployment', 'Java', 'XML', 'Bug Fixing', 'UI Design', 'Retrofit', 'Testing', 'REST APIs', 'React Native', 'MVVM', 'Notifications']"
"['devops engineer', 'software engineer']","['Deployment', 'System Design', 'Git', 'ETL Pipelines', 'Databases', 'Docker', 'CI/CD', 'API Integration', 'Algorithms', 'Code Review', 'Debugging', 'Data Structures']"
['ai researcher'],"['Visualization', 'Deep Learning', 'Clustering', 'Data Analysis', 'ANN', 'SQL', 'NLP', 'Predictive Modeling', 'Tableau', 'Python', 'Classification', 'Snowflake', 'Machine Learning', 'PyTorch', 'Statistics', 'Exploratory Data Analysis']"
"['mobile application developer', 'android intern']","['MVVM', 'XML', 'Testing', 'Glide', 'Android SDK', 'Retrofit', 'Play Store Deployment', 'Bug Fixing', 'UI Design', 'Java', 'Kotlin', 'Performance Optimization', 'React Native', 'App Lifecycle', 'Notifications', 'REST APIs', 'Version Control']"
['project manager'],"['Scheduling', 'Project Planning', 'Time Management', 'Presentation', 'MS Project', 'Team Coordination', 'Google Analytics', 'User Research', 'Reporting', 'Budgeting', 'Risk Management', 'Communication', 'Scope Management', 'Performance Metrics', 'Documentation']"
['ai researcher'],"['Deep Learning', 'RNN', 'Classification', 'SQL', 'CNN', 'Regression', 'Data Cleaning', 'Statistics', 'Tableau', 'Big Data', 'Data Analysis', 'Exploratory Data Analysis', 'NLP', 'Feature Engineering', 'Python', 'TensorFlow', 'Clustering', 'Predictive Modeling', 'Visualization']"
"['project manager', 'agile project lead']","['A/B Testing', 'Risk Management', 'Documentation', 'MS Project', 'Reporting', 'Google Analytics', 'Stakeholder Management', 'Communication', 'Time Management', 'Project Planning', 'Issue Tracking', 'Scheduling', 'User Research', 'Wireframing', 'Presentation', 'Scope Management']"
"['mobile application developer', 'android developer']","['Notifications', 'Bug Fixing', 'UI Design', 'MVVM', 'Retrofit', 'Kotlin', 'Performance Optimization', 'App Lifecycle', 'Fragments', 'Glide', 'Play Store Deployment', 'Version Control']"
['mobile application developer'],"['XML', 'Version Control', 'Testing', 'Bug Fixing', 'MVVM', 'Kotlin', 'Java', 'Play Store Deployment', 'Firebase', 'Retrofit', 'Fragments', 'React Native', 'App Lifecycle', 'REST APIs', 'Glide', 'UI Design', 'Android SDK', 'Performance Optimization']"
"['android developer', 'android intern']","['UI Design', 'Kotlin', 'MVVM', 'Java', 'Play Store Deployment', 'Retrofit', 'Testing', 'App Lifecycle', 'Bug Fixing', 'Performance Optimization', 'Version Control', 'Android SDK']"
"['mobile application developer', 'android developer']","['Fragments', 'Retrofit', 'UI Design', 'XML', 'Firebase', 'Play Store Deployment', 'MVVM', 'Bug Fixing', 'Performance Optimization', 'React Native', 'Notifications', 'REST APIs', 'Kotlin', 'Java', 'Version Control']"
['project manager'],"['User Research', 'Wireframing', 'Communication', 'Presentation', 'A/B Testing', 'Issue Tracking', 'Risk Management', 'Documentation', 'Team Coordination', 'Stakeholder Management', 'Time Management', 'Performance Metrics', 'Budgeting', 'Reporting']"
['agile project lead'],"['Wireframing', 'Stakeholder Management', 'Presentation', 'Scheduling', 'A/B Testing', 'Performance Metrics', 'Project Planning', 'MS Project', 'Customer Retention', 'Documentation', 'Risk Management', 'Communication', 'Team Coordination', 'Budgeting', 'Issue Tracking', 'Scope Management', 'Reporting', 'User Research', 'Time Management']"
"['data scientist', 'ai researcher']","['TensorFlow', 'RNN', 'PyTorch', 'ANN', 'Statistics', 'Exploratory Data Analysis', 'Tableau', 'Dimensionality Reduction', 'Machine Learning', 'Clustering', 'Deep Learning', 'Data Cleaning', 'NLP', 'SQL', 'Visualization', 'Predictive Modeling', 'Classification', 'Data Analysis', 'Regression', 'Python']"
"['mobile application developer', 'android developer']","['React Native', 'Android SDK', 'Play Store Deployment', 'Kotlin', 'Glide', 'Fragments', 'XML', 'Retrofit', 'UI Design', 'Testing', 'Bug Fixing', 'Java', 'REST APIs', 'Firebase', 'Performance Optimization', 'MVVM', 'Version Control']"
"['cloud data engineer', 'software engineer']","['Infrastructure as Code', 'Golang', 'Code Review', 'API Integration', 'ETL Pipelines', 'Deployment', 'System Design', 'Microservices', 'DevOps', 'Databases', 'Testing', 'Docker', 'Git']"
['cloud data engineer'],"['Golang', 'Version Control', 'Deployment', 'Data Structures', 'API Integration', 'Programming', 'Code Review', 'Git', 'Databases', 'System Design', 'Microservices', 'Terraform', 'Algorithms', 'Debugging', 'Docker', 'DevOps', 'Infrastructure as Code', 'CI/CD', 'Web Development']"
"['devops engineer', 'cloud data engineer']","['Terraform', 'CI/CD', 'Programming', 'Algorithms', 'Web Development', 'Docker', 'Microservices', 'Debugging', 'Databases', 'Code Review', 'Git', 'Data Structures', 'DevOps']"
['android intern'],"['Testing', 'Bug Fixing', 'Firebase', 'Glide', 'Java', 'Fragments', 'Notifications', 'UI Design', 'Android SDK', 'Retrofit', 'React Native', 'Kotlin', 'XML']"
"['machine learning engineer', 'data scientist']","['Regression', 'Data Analysis', 'Big Data', 'Deep Learning', 'Feature Engineering', 'Machine Learning', 'Dimensionality Reduction', 'Visualization', 'SQL', 'Statistics', 'CNN', 'Data Cleaning', 'Clustering', 'Python', 'ANN', 'PyTorch', 'Predictive Modeling']"
"['agile project lead', 'project manager']","['Risk Management', 'Communication', 'Performance Metrics', 'Presentation', 'Team Coordination', 'MS Project', 'Budgeting', 'Reporting', 'Project Planning', 'Scheduling', 'Documentation', 'Google Analytics', 'User Research']"
['software engineer'],"['Version Control', 'ETL Pipelines', 'Deployment', 'Golang', 'Programming', 'Testing', 'Debugging', 'System Design', 'DevOps', 'Web Development', 'Algorithms', 'Data Structures', 'API Integration', 'Docker', 'Object-Oriented Design', 'Microservices', 'Code Review', 'Databases']"
"['mobile application developer', 'android developer']","['App Lifecycle', 'Notifications', 'Retrofit', 'Kotlin', 'UI Design', 'Android SDK', 'Performance Optimization', 'MVVM', 'Play Store Deployment', 'Java', 'Version Control', 'XML', 'React Native', 'Fragments', 'REST APIs', 'Glide']"
['android intern'],"['Play Store Deployment', 'Glide', 'App Lifecycle', 'Java', 'MVVM', 'React Native', 'Version Control', 'UI Design', 'Firebase', 'Notifications', 'Retrofit', 'Bug Fixing', 'Kotlin', 'Fragments', 'REST APIs', 'Performance Optimization']"
"['software engineer', 'cloud data engineer']","['Algorithms', 'Terraform', 'Programming', 'System Design', 'Git', 'API Integration', 'DevOps', 'Golang', 'Databases', 'Docker', 'Infrastructure as Code']"
['cloud data engineer'],"['Microservices', 'DevOps', 'Code Review', 'Git', 'Databases', 'Debugging', 'Object-Oriented Design', 'Docker', 'Programming', 'Deployment', 'System Design', 'Golang', 'Testing']"
['machine learning engineer'],"['Visualization', 'Classification', 'Statistics', 'Big Data', 'Python', 'Feature Engineering', 'TensorFlow', 'Snowflake', 'RNN', 'ANN', 'Data Cleaning', 'Tableau', 'PyTorch', 'Clustering', 'Exploratory Data Analysis', 'Regression']"
"['software engineer', 'cloud data engineer']","['Debugging', 'ETL Pipelines', 'API Integration', 'DevOps', 'CI/CD', 'Databases', 'Object-Oriented Design', 'Testing', 'Web Development', 'Data Structures', 'Microservices', 'Algorithms', 'Deployment', 'Terraform', 'Code Review']"
['software engineer'],"['Debugging', 'API Integration', 'Programming', 'Deployment', 'Code Review', 'Version Control', 'Databases', 'DevOps', 'Infrastructure as Code', 'Docker', 'Golang', 'System Design', 'Object-Oriented Design', 'Web Development', 'Algorithms', 'ETL Pipelines', 'CI/CD', 'Data Structures', 'Microservices', 'Git']"
['assistant project manager'],"['MS Project', 'Presentation', 'Performance Metrics', 'Scheduling', 'Time Management', 'Stakeholder Management', 'User Research', 'Project Planning', 'Google Analytics', 'Communication']"
"['assistant project manager', 'agile project lead']","['User Research', 'Performance Metrics', 'MS Project', 'Communication', 'Scheduling', 'Google Analytics', 'Wireframing', 'Presentation', 'Customer Retention', 'Team Coordination', 'Scope Management', 'Reporting', 'Issue Tracking', 'Budgeting', 'Project Planning', 'Risk Management', 'Time Management', 'Documentation', 'A/B Testing']"
['software engineer'],"['Microservices', 'Algorithms', 'ETL Pipelines', 'Deployment', 'CI/CD', 'Infrastructure as Code', 'Docker', 'Version Control', 'Golang', 'Testing', 'Programming', 'DevOps', 'Terraform', 'Web Development', 'API Integration', 'Git']"
"['mobile application developer', 'android intern']","['UI Design', 'Android SDK', 'Play Store Deployment', 'Glide', 'Version Control', 'Fragments', 'Kotlin', 'XML', 'MVVM', 'Notifications', 'App Lifecycle', 'Bug Fixing', 'Java', 'React Native', 'REST APIs', 'Firebase', 'Retrofit']"
['android developer'],"['Bug Fixing', 'REST APIs', 'Retrofit', 'Fragments', 'Performance Optimization', 'React Native', 'Version Control', 'Notifications', 'XML', 'App Lifecycle']"
"['software engineer', 'cloud data engineer']","['CI/CD', 'Code Review', 'Golang', 'DevOps', 'Algorithms', 'Databases', 'Object-Oriented Design', 'Microservices', 'Testing', 'Git', 'Terraform', 'Docker', 'Debugging', 'Deployment']"
['data scientist'],"['Machine Learning', 'Tableau', 'Classification', 'Predictive Modeling', 'Data Analysis', 'Statistics', 'Clustering', 'Exploratory Data Analysis', 'TensorFlow', 'NLP', 'ANN', 'Dimensionality Reduction', 'SQL', 'Big Data', 'Deep Learning', 'Python']"
['agile project lead'],"['Wireframing', 'Team Coordination', 'Documentation', 'Stakeholder Management', 'User Research', 'Issue Tracking', 'Presentation', 'Scope Management', 'Project Planning', 'Performance Metrics', 'Communication', 'A/B Testing', 'Time Management', 'Google Analytics', 'MS Project', 'Customer Retention', 'Risk Management', 'Budgeting']"
"['assistant project manager', 'project manager']","['MS Project', 'Team Coordination', 'Issue Tracking', 'Time Management', 'Reporting', 'Performance Metrics', 'Presentation', 'Wireframing', 'Project Planning', 'Budgeting', 'Documentation', 'Google Analytics', 'Scheduling', 'Customer Retention', 'Communication', 'Scope Management', 'Risk Management', 'A/B Testing', 'Stakeholder Management']"
"['machine learning engineer', 'data scientist']","['Feature Engineering', 'Classification', 'Exploratory Data Analysis', 'Data Analysis', 'Snowflake', 'RNN', 'Python', 'CNN', 'NLP', 'Big Data', 'PyTorch', 'Deep Learning', 'Dimensionality Reduction', 'ANN', 'Predictive Modeling', 'SQL', 'Regression']"
"['mobile application developer', 'android developer']","['REST APIs', 'Bug Fixing', 'Kotlin', 'Testing', 'Retrofit', 'React Native', 'UI Design', 'Android SDK', 'Fragments', 'Java', 'XML']"
['data scientist'],"['Regression', 'Statistics', 'Data Analysis', 'Snowflake', 'Clustering', 'Feature Engineering', 'PyTorch', 'Data Cleaning', 'SQL', 'Deep Learning', 'Machine Learning', 'Dimensionality Reduction', 'Tableau', 'Classification', 'NLP', 'Visualization', 'TensorFlow', 'Big Data', 'Python']"
"['mobile application developer', 'android intern']","['Performance Optimization', 'Android SDK', 'Glide', 'Testing', 'Bug Fixing', 'XML', 'Fragments', 'Java', 'Notifications', 'React Native', 'UI Design', 'Retrofit', 'REST APIs']"
"['machine learning engineer', 'data scientist']","['Statistics', 'Snowflake', 'Feature Engineering', 'Data Analysis', 'RNN', 'Python', 'CNN', 'Regression', 'Visualization', 'Deep Learning', 'Classification', 'Big Data', 'Tableau', 'Clustering', 'PyTorch', 'NLP']"
"['machine learning engineer', 'ai researcher']","['Data Cleaning', 'Classification', 'Predictive Modeling', 'CNN', 'Feature Engineering', 'Python', 'ANN', 'SQL', 'Machine Learning', 'Exploratory Data Analysis', 'Visualization', 'Clustering']"
"['data scientist', 'machine learning engineer']","['Python', 'NLP', 'PyTorch', 'TensorFlow', 'RNN', 'Clustering', 'SQL', 'Deep Learning', 'CNN', 'Dimensionality Reduction', 'Exploratory Data Analysis']"
"['devops engineer', 'cloud data engineer']","['Golang', 'Debugging', 'Terraform', 'Deployment', 'Git', 'System Design', 'DevOps', 'API Integration', 'Testing', 'Microservices', 'Web Development', 'Docker', 'Object-Oriented Design', 'Version Control', 'ETL Pipelines', 'Code Review', 'Databases']"
['cloud data engineer'],"['Code Review', 'Golang', 'CI/CD', 'Data Structures', 'Microservices', 'Object-Oriented Design', 'ETL Pipelines', 'Deployment', 'Web Development', 'Version Control']"
['android developer'],"['Android SDK', 'Testing', 'Fragments', 'REST APIs', 'UI Design', 'Notifications', 'Glide', 'Bug Fixing', 'Performance Optimization', 'MVVM', 'Play Store Deployment', 'React Native', 'App Lifecycle', 'Version Control', 'Firebase']"
"['android intern', 'mobile application developer']","['App Lifecycle', 'XML', 'Kotlin', 'UI Design', 'Java', 'React Native', 'Retrofit', 'Glide', 'Bug Fixing', 'Notifications', 'Android SDK']"
['data scientist'],"['Tableau', 'Machine Learning', 'Data Analysis', 'Data Cleaning', 'Big Data', 'Predictive Modeling', 'Classification', 'Statistics', 'Visualization', 'Deep Learning', 'Snowflake', 'Feature Engineering', 'Dimensionality Reduction', 'Clustering', 'Regression', 'Python', 'PyTorch', 'TensorFlow', 'ANN']"
"['project manager', 'assistant project manager']","['Team Coordination', 'Project Planning', 'Documentation', 'Presentation', 'Google Analytics', 'Stakeholder Management', 'A/B Testing', 'Time Management', 'Wireframing', 'Performance Metrics', 'Communication', 'Customer Retention', 'Risk Management', 'Reporting', 'MS Project', 'Budgeting']"
"['android developer', 'mobile application developer']","['UI Design', 'XML', 'Kotlin', 'Performance Optimization', 'Android SDK', 'Firebase', 'MVVM', 'Bug Fixing', 'Testing', 'React Native']"
['android developer'],"['App Lifecycle', 'Glide', 'MVVM', 'Performance Optimization', 'Fragments', 'Kotlin', 'Bug Fixing', 'XML', 'Version Control', 'Testing', 'Firebase', 'Notifications', 'Retrofit', 'UI Design', 'Android SDK', 'React Native']"
['ai researcher'],"['Regression', 'Visualization', 'Big Data', 'Data Analysis', 'SQL', 'Classification', 'CNN', 'Deep Learning', 'Snowflake', 'NLP', 'RNN', 'Statistics', 'Exploratory Data Analysis', 'Machine Learning', 'Tableau', 'ANN', 'Data Cleaning', 'PyTorch', 'Dimensionality Reduction']"
"['agile project lead', 'assistant project manager']","['Wireframing', 'Time Management', 'Reporting', 'Team Coordination', 'Budgeting', 'A/B Testing', 'Stakeholder Management', 'User Research', 'Risk Management', 'Issue Tracking', 'Communication', 'Scheduling', 'Performance Metrics', 'Google Analytics', 'MS Project', 'Presentation', 'Project Planning']"
"['software engineer', 'cloud data engineer']","['Web Development', 'Algorithms', 'Git', 'System Design', 'DevOps', 'Databases', 'Terraform', 'Microservices', 'ETL Pipelines', 'Object-Oriented Design', 'Code Review']"
['assistant project manager'],"['Budgeting', 'Issue Tracking', 'Team Coordination', 'Documentation', 'Wireframing', 'Reporting', 'Scope Management', 'Risk Management', 'Customer Retention', 'Communication', 'Project Planning', 'Scheduling', 'Presentation', 'Time Management', 'Google Analytics', 'Stakeholder Management']"
"['machine learning engineer', 'ai researcher']","['Tableau', 'Data Analysis', 'Python', 'TensorFlow', 'SQL', 'Exploratory Data Analysis', 'Statistics', 'Dimensionality Reduction', 'NLP', 'Classification', 'Data Cleaning', 'Big Data', 'Predictive Modeling', 'PyTorch', 'RNN']"
['mobile application developer'],"['Performance Optimization', 'Java', 'MVVM', 'Notifications', 'Firebase', 'Glide', 'Fragments', 'Play Store Deployment', 'REST APIs', 'Retrofit', 'React Native', 'XML', 'Testing']"
['devops engineer'],"['Git', 'Microservices', 'API Integration', 'ETL Pipelines', 'Data Structures', 'Programming', 'Terraform', 'Version Control', 'Code Review', 'Algorithms']"
['project manager'],"['Scheduling', 'Communication', 'A/B Testing', 'Budgeting', 'Performance Metrics', 'Stakeholder Management', 'Risk Management', 'Time Management', 'Customer Retention', 'User Research', 'Documentation', 'Scope Management', 'Reporting', 'Project Planning']"
['project manager'],"['Budgeting', 'MS Project', 'User Research', 'Performance Metrics', 'Presentation', 'Stakeholder Management', 'Project Planning', 'Scheduling', 'Google Analytics', 'Team Coordination', 'Wireframing', 'Customer Retention', 'Communication', 'Risk Management', 'Documentation', 'A/B Testing']"
"['assistant project manager', 'project manager']","['Performance Metrics', 'Reporting', 'Stakeholder Management', 'Team Coordination', 'Google Analytics', 'Documentation', 'A/B Testing', 'Wireframing', 'Presentation', 'Project Planning', 'Communication', 'MS Project', 'Time Management']"
['cloud data engineer'],"['Version Control', 'Testing', 'CI/CD', 'Docker', 'Microservices', 'Terraform', 'API Integration', 'Algorithms', 'ETL Pipelines', 'Programming', 'System Design', 'Git', 'Data Structures', 'Debugging']"
"['android intern', 'mobile application developer']","['REST APIs', 'XML', 'Version Control', 'App Lifecycle', 'MVVM', 'Java', 'Fragments', 'Testing', 'Android SDK', 'Retrofit', 'Glide']"
"['agile project lead', 'project manager']","['Reporting', 'Team Coordination', 'Performance Metrics', 'MS Project', 'Google Analytics', 'Communication', 'Customer Retention', 'Budgeting', 'Stakeholder Management', 'Issue Tracking', 'Risk Management', 'User Research', 'Project Planning', 'Wireframing', 'Scheduling', 'Time Management']"
"['android intern', 'android developer']","['Java', 'Retrofit', 'Android SDK', 'Fragments', 'Glide', 'Notifications', 'Version Control', 'Testing', 'UI Design', 'XML', 'Kotlin']"
['assistant project manager'],"['Risk Management', 'Documentation', 'User Research', 'Reporting', 'Customer Retention', 'A/B Testing', 'Project Planning', 'Scheduling', 'Team Coordination', 'Performance Metrics']"
['cloud data engineer'],"['ETL Pipelines', 'Infrastructure as Code', 'Golang', 'DevOps', 'System Design', 'Object-Oriented Design', 'Docker', 'Git', 'Databases', 'Algorithms', 'CI/CD', 'Code Review', 'Web Development', 'Debugging', 'Microservices', 'API Integration', 'Version Control', 'Deployment', 'Terraform']"
"['cloud data engineer', 'devops engineer']","['Microservices', 'Object-Oriented Design', 'Terraform', 'Programming', 'Docker', 'System Design', 'Debugging', 'Deployment', 'Golang', 'ETL Pipelines', 'Testing', 'Databases']"
['assistant project manager'],"['Budgeting', 'Scope Management', 'Google Analytics', 'Scheduling', 'Communication', 'Risk Management', 'A/B Testing', 'Documentation', 'Project Planning', 'Customer Retention', 'User Research', 'Time Management', 'Stakeholder Management', 'Performance Metrics']"
"['data scientist', 'ai researcher']","['Visualization', 'Dimensionality Reduction', 'Clustering', 'ANN', 'CNN', 'Tableau', 'Statistics', 'Python', 'RNN', 'Classification', 'PyTorch', 'Regression', 'Predictive Modeling', 'TensorFlow', 'Feature Engineering', 'NLP']"
"['data scientist', 'ai researcher']","['ANN', 'PyTorch', 'Python', 'Dimensionality Reduction', 'Snowflake', 'Visualization', 'Deep Learning', 'Data Analysis', 'Statistics', 'Clustering', 'RNN', 'TensorFlow', 'Machine Learning', 'Regression']"
['data scientist'],"['CNN', 'Snowflake', 'Tableau', 'Python', 'Big Data', 'Clustering', 'Machine Learning', 'PyTorch', 'Data Cleaning', 'Classification', 'ANN', 'Dimensionality Reduction', 'RNN', 'Deep Learning', 'TensorFlow', 'Regression', 'Feature Engineering', 'Statistics', 'SQL', 'Exploratory Data Analysis']"
"['software engineer', 'cloud data engineer']","['Databases', 'Testing', 'Version Control', 'Golang', 'DevOps', 'Git', 'Object-Oriented Design', 'Web Development', 'Infrastructure as Code', 'API Integration', 'Data Structures', 'Programming', 'System Design', 'Deployment', 'Debugging', 'Terraform']"
"['data scientist', 'ai researcher']","['Exploratory Data Analysis', 'Tableau', 'Dimensionality Reduction', 'Predictive Modeling', 'SQL', 'RNN', 'Classification', 'Machine Learning', 'Feature Engineering', 'CNN', 'Statistics', 'NLP']"
"['software engineer', 'cloud data engineer']","['Version Control', 'Data Structures', 'Debugging', 'Infrastructure as Code', 'Databases', 'Algorithms', 'Testing', 'DevOps', 'Terraform', 'CI/CD', 'Object-Oriented Design']"
['machine learning engineer'],"['Feature Engineering', 'Statistics', 'Classification', 'Dimensionality Reduction', 'Machine Learning', 'SQL', 'Exploratory Data Analysis', 'Data Cleaning', 'Clustering', 'TensorFlow', 'Data Analysis', 'Tableau', 'Big Data', 'PyTorch', 'NLP', 'CNN']"
"['assistant project manager', 'agile project lead']","['Issue Tracking', 'Presentation', 'Documentation', 'Reporting', 'Risk Management', 'Budgeting', 'Customer Retention', 'Team Coordination', 'A/B Testing', 'Project Planning', 'Google Analytics', 'Scope Management', 'Communication', 'Performance Metrics', 'MS Project', 'Scheduling']"
